LINAK U.S. Inc.	Physical inventory by inventory dimension	8/2/2018	03:51:38 pm	Page 1
As of	8/2/2018
Item number	Item name	Location	Pallet ID	Available physical	Inventory value in total
0015755-A	CABLE STR BLACK 8P DIN (HR)  R	QIHOLD	557060A	50.00	95.77
0015756-2590-A	8P DIN CABLE STRAIGHT 102"	QIHOLD	560005A	49.00	169.07
0020075	MOTOR LA27 - 24 V - INVACARE	QIHOLD	stop	1.00	4.97
0020081	MOTOR - 24V - LA27	QIHOLD	stop	363.00	2,022.26
0020633-A	MOTOR LA44-24V-60SPB20+C+SR	QIHOLD	G730463	4.00	58.91
0020633-A	MOTOR LA44-24V-60SPB20+C+SR	QIHOLD	G800595	297.00	4,374.22
00914517-C	CABLE COILED 6C/8P 810MM BLACK	QIHOLD	570440A	0.00	0.00
00J1BA058	AQUA CREEK BAJ OVERLAY	QIHOLD	574063A	500.00	455.00
0271090-D	BACK FIXTURE HAND CRANK	QIHOLD	stop	80.00	32.86
0271129-147	OUTER TUBE ALU MACH 147 MM	QIHOLD	stop	3.00	2.94
0271129-202	OUTER TUBE ALU MACH 202 MM	QIHOLD	stop	5.00	13.08
0271129-288	LA27 KANBAN OUTER TUBE	QIHOLD	stop	2.00	2.49
0271129-325	LA27 KANBAN OUTER TUBE	QIHOLD	stop	5.00	7.33
0311248	BASE PART, NG, STD, BLACK	QIHOLD	G828297	140.00	400.68
0311248	BASE PART, NG, STD, BLACK	QIHOLD	stop	96.00	274.76
0311508-D	BRAKE FIXTURE CASTED LA31	QIHOLD	stop	379.00	36.16
031566-B	BASE PART, NG, FWD, BLACK	QIHOLD	stop	1.00	1.55
031808-B	BASE PART, GR, REAR, GREY, V0	QIHOLD	stop	64.00	193.40
031809-B	TOP PART, GR, REAR, GREY, V0	QIHOLD	stop	64.00	146.21
0361119-D	REAR MOUNTING "PAINT" Ø12,2	QIHOLD	561978A	228.00	299.50
0441076-A	SEALRING LA44	QIHOLD	stop	10.00	3.91
0448005	ASSEMBLED PLANETARY GEAR LA44	QIHOLD	stop	1.00	1.05
0568108-A	3700MM CABLE W/8P MOD PLUG	QIHOLD	578722A	24.00	26.97
0617102-C-1000/PROTO	0617102-C-1000/PROTO	QIHOLD	I160580	49.00	0.00
0633355-A	TOP FRAME OUTER PROFILE SC	QI	403751A	0.00	1.50
0634116-A122-466	DL12A INNER PROFILE BLACK	QIHOLD	stop	3.00	19.95
0634116-A123-466	DL12A INNER PROFILE WHITE	QIHOLD	stop	3.00	19.69
0634116-A124-466	DL12A INNER PROFILE MERLE	QIHOLD	stop	0.00	0.00
0634116-A36-466	INNER PROFILE DL12A PLATINUM	QIHOLD	stop	3.00	23.16
0634118-B122-460	DL12A MIDDLE PROFILE BLACK	QIHOLD	stop	5.00	26.13
0634118-B123-460	DL12A MIDDLE PROFILE WHITE	QIHOLD	stop	1.00	5.28
0634118-B36-460	MIDDLE PROFILE DL12A PLATINUM	QIHOLD	stop	3.00	14.37
0634120-C125-469	BLACK DL12A OUTER PROFILE	QIHOLD	stop	3.00	20.61
0634120-C126-469	WHITE DL12A OUTER PROFILE	QIHOLD	stop	20.00	130.03
0634120-C36-469	OUTER PROFILE DL12A PLATINUM	QIHOLD	stop	8.00	49.24
0634120-C36-591	OUTER PROFILE DL12B SS PLAT	QIHOLD	stop	4.00	32.31
0634122-B36-591	PLAT DL12B SS BENCH OUTER LH	QIHOLD	stop	2.00	20.49
0634123-B36-591	PLAT DL12B SS BENCH OUTER RH	QIHOLD	stop	1.00	10.24
06400DL5-00-022-645A	06400DL5-00-022-645A	QIHOLD	stop	75.00	1,087.50
0648553-A36-635	INNER PROFILE - DL5-RAL 4799	QIHOLD	stop	0.00	0.00
0717270-B	HC20 EASYREST PREMIER TOP	QIHOLD	553245A	50.00	31.80
0721071-489-00	OUTER TUBE	QIHOLD	stop	1.00	6.63
0728001	S7- 26" FOOT, BLACK	QIHOLD	stop	2.00	49.58
